t,price_raw,price_reg,reg_term,energy,time,lamE,lamT,E_eff,T_eff,energy_prev,time_prev,E_eff_prev,T_eff_prev,residE_prev,residT_prev,residE,residT,violE,violT,csE,csT,dx1
1,5.906666666782601,5.906667417715934,7.509333333552308e-07,10.186666666993261,4.270000000110612,0.0,0.025,10.0,3.0375,10.0,4.25,10.0,3.0,0.0,1.25,0.1866666669932613,1.2325000001106123,0.1866666669932613,1.2325000001106123,0.0,0.03081250000276531,0.1333333334054552
2,5.8138333351981935,5.813834088911605,7.537134113839344e-07,10.372583329605387,4.289687499600711,0.003733333339865226,0.049650000002212244,10.005600000009798,3.0744750000033183,10.186666666993261,4.270000000110612,10.0,3.0375,0.1866666669932613,1.2325000001106123,0.3669833295955893,1.2152124995973925,0.3669833295955893,1.2152124995973925,0.0013700710995539626,0.060335300607698886,0.13233333073716053
3,5.722189894476717,5.722190652746245,7.58269527737285e-07,10.556217377708242,4.308954873806796,0.011072999931777013,0.07395424999416009,10.016609499897665,3.11093137499124,10.372583329605387,4.289687499600711,10.005600000009798,3.0744750000033183,0.3669833295955893,1.2152124995973925,0.5396078778105764,1.1980234988155556,0.5396078778105764,1.1980234988155556,0.005975077994182851,0.08859892933028395,0.1303517724646867
4,5.632402611685801,5.632403376165245,7.644794444591281e-07,10.736088565781326,4.327698254505201,0.02186515748798854,0.0979147199704712,10.032797736231982,3.1468720799557066,10.556217377708242,4.308954873806796,10.016609499897665,3.11093137499124,0.5396078778105764,1.1980234988155556,0.7032908295493439,1.1808261745494941,0.7032908295493439,1.1808261745494941,0.015377564747954509,0.11562026421481647,0.12742235543345304
5,5.545109076167818,5.545109848342156,7.721743381770352e-07,10.910780177701263,4.3458183642275845,0.03593097407897542,0.12153124346146109,10.053896461118462,3.1822968651921917,10.736088565781326,4.327698254505201,10.032797736231982,3.1468720799557066,0.7032908295493439,1.1808261745494941,0.8568837165828,1.1635214990353928,0.8568837165828,1.1635214990353928,0.03078866660923271,0.1414042145719145,0.12358602540439631
6,5.460913491962522,5.460914273107655,7.811451338067654e-07,11.078949419564943,4.3632212925461715,0.05306864841063142,0.14480167344216893,10.079602972615946,3.2172025101632533,10.910780177701263,4.3458183642275845,10.053896461118462,3.1822968651921917,0.8568837165828,1.1635214990353928,0.9993464469489961,1.1460187823829182,0.9993464469489961,1.1460187823829182,0.05303396523355,0.16594543748520338,0.11889047756868758
7,5.380382350582668,5.380383141732632,7.91149964073021e-07,11.239336973108621,4.379819209911959,0.07305557734961135,0.1677220490898273,10.109583366024417,3.251583073634741,11.078949419564943,4.3632212925461715,10.079602972615946,3.2172025101632533,0.9993464469489961,1.1460187823829182,1.1297536070842042,1.1282361362772182,1.1297536070842042,1.1282361362772182,0.08253480202834251,0.18923007663360467,0.11338961150310747
8,5.304040511728339,5.304041313650806,8.01922466703848e-07,11.39077564821354,4.395531014381987,0.09565064949129544,0.19028677181537165,10.143475974236944,3.2854301577230576,11.239336973108621,4.379819209911959,10.109583366024417,3.251583073634741,1.1297536070842042,1.1282361362772182,1.2472996739765954,1.1101008566589297,1.2472996739765954,1.1101008566589297,0.1193050239261424,0.21123750840310634,0.10714294649223015
9,5.232367715655153,5.232368528835768,8.131806154493645e-07,11.532198082122546,4.410282907339424,0.12059664297082734,0.21248878894855025,10.180894964456241,3.3187331834228253,11.39077564821354,4.395531014381987,10.143475974236944,3.2854301577230576,1.2472996739765954,1.1101008566589297,1.3513031176663048,1.0915497239165983,1.3513031176663048,1.0915497239165983,0.16296261962656924,0.23194207891216234,0.10021500286910738
10,5.165795546807611,5.1657963714433865,8.246357759592988e-07,11.662643442050742,4.42400889498323,0.14762270532415345,0.23431978342688223,10.22143405798623,3.3514796751403235,11.532198082122546,4.410282907339424,10.180894964456241,3.3187331834228253,1.3513031176663048,1.0915497239165983,1.4412093840645124,1.0725292198429068,1.4412093840645124,1.0725292198429068,0.2127552282141602,0.2513148145125929,0.09267465525146751
11,5.104704864153715,5.104705700155398,8.360016827689378e-07,11.781263097096133,4.436651213050893,0.1764468930054437,0.25577036782374035,10.264670339508166,3.3836555517356106,11.662643442050742,4.42400889498323,10.22143405798623,3.3514796751403235,1.4412093840645124,1.0725292198429068,1.5165927575879667,1.0529956613152822,1.5165927575879667,1.0529956613152822,0.26759808003095475,0.26932508761141244,0.0845944636578082
12,5.0494237094434276,5.049424556446476,8.470030485817625e-07,11.88732523466211,4.448160672930266,0.20677874815720304,0.276830281050046,10.310168122235805,3.4152454215750687,11.781263097096133,4.436651213050893,10.264670339508166,3.3836555517356106,1.5165927575879667,1.0529956613152822,1.5771571124263062,1.0329152513551971,1.5771571124263062,1.0329152513551971,0.3261225733547407,0.2859422193335381,0.07703748700651064
13,5.000225700398305,5.000226557781846,8.573835407983894e-07,11.980218405913803,4.458496928009521,0.23832189040572915,0.2974885860771499,10.357482835608593,3.446232879115725,11.88732523466211,4.448160672930266,10.310168122235805,3.4152454215750687,1.5771571124263062,1.0329152513551971,1.6227355703052098,1.0122640488937962,1.6227355703052098,1.0122640488937962,0.3867334087437566,0.3011370006421464,0.07033931703848732
14,4.957328911657431,4.9573297785703225,8.669128916737615e-07,12.059453994027232,4.4676286598017105,0.27077660181183333,0.3177338670550258,10.40616490271775,3.476600800582539,11.980218405913803,4.458496928009521,10.357482835608593,3.446232879115725,1.6227355703052098,1.0122640488937962,1.6532890913094818,0.9910278592191717,1.6532890913094818,0.9910278592191717,0.4476720019573553,0.3148831140689711,0.06341093803104692
15,4.92089524218988,4.920896117582827,8.753929462335282e-07,12.124667608078553,4.475533684056811,0.30384238363802296,0.33755442423940923,10.455763575457034,3.5063316363591137,12.059453994027232,4.4676286598017105,10.40616490271775,3.476600800582539,1.6532890913094818,0.9910278592191717,1.6689040326215192,0.969202047697697,1.6689040326215192,0.969202047697697,0.5070837793348312,0.32715843918225257,0.056312636052130285
16,4.891030263868935,4.89103114653143,8.826624946428887e-07,12.17561941428837,4.4821989777341695,0.3372204642904533,0.3569384651933632,10.50583069643568,3.5354076977900446,12.124667608078553,4.475533684056811,10.455763575457034,3.5063316363591137,1.6689040326215192,0.969202047697697,1.6697887178526898,0.9467912799441249,1.6697887178526898,0.9467912799441249,0.5630869267012448,0.33794622632171584,0.04910486184496828
17,4.867783542019516,4.867784430620297,8.886007814995796e-07,12.21219342491399,4.487620628346681,0.37061623864750715,0.3758742907922457,10.55592435797126,3.5638114361883684,12.17561941428837,4.4821989777341695,10.50583069643568,3.5354076977900446,1.6697887178526898,0.9467912799441249,1.6562690669427287,0.9238091921583127,1.6562690669427287,0.9238091921583127,0.6138402117785303,0.3472361249298632,0.041847723503623764
18,4.851149415027019,4.851150308156651,8.931296318827744e-07,12.23439577330571,4.4918037078000115,0.4037416199863617,0.39435047463541195,10.605612429979542,3.5915257119531176,12.21219342491399,4.487620628346681,10.55592435797126,3.5638114361883684,1.6562690669427287,0.9238091921583127,1.6287833433261678,0.9002779958468938,1.6287833433261678,0.9002779958468938,0.6576076256413094,0.35502505496604003,0.03460049302715425
19,4.84106821656068,4.8410691127748615,8.962141813150603e-07,12.242352011451151,4.4947620734314295,0.43631728685288507,0.4123560345523498,10.654475930279327,3.618534051828525,12.23439577330571,4.4918037078000115,10.605612429979542,3.5915257119531176,1.6287833433261678,0.9002779958468938,1.5878760811718244,0.8762280216029046,1.5878760811718244,0.8762280216029046,0.692817783595482,0.3613179123518244,0.02935974274214488
20,4.837427920642746,4.837428818504988,8.978622425389208e-07,12.236303473668261,4.496518099498677,0.46807480847632155,0.4298805949844079,10.702112212714482,3.644820892476612,12.242352011451151,4.4947620734314295,10.654475930279327,3.618534051828525,1.5878760811718244,0.8762280216029046,1.5341912609537793,0.851697207022065,1.5341912609537793,0.851697207022065,0.7181162806369865,0.3661281021012037,0.02690215085872639
21,4.840066186709331,4.840067084831715,8.981223847439924e-07,12.216602756922164,4.497102342876655,0.49875863369539714,0.4469145391248492,10.748137950543097,3.670371808687274,12.236303473668261,4.496518099498677,10.702112212714482,3.644820892476612,1.5341912609537793,0.851697207022065,1.4684648063790675,0.8267305341893811,1.4684648063790675,0.8267305341893811,0.7324095004593996,0.36947789566768763,0.03318930503376064
22,4.848772778980214,4.848773676061053,8.970808393379137e-07,12.183708374488461,4.4965531471845805,0.5281279298229785,0.46344914980863683,10.792191894734469,3.695173724712955,12.216602756922164,4.497102342876655,10.748137950543097,3.670371808687274,1.4684648063790675,0.8267305341893811,1.3915164797539923,0.8013794224716255,1.3915164797539923,0.8013794224716255,0.7348987177670345,0.37139861201861124,0.039735187083501704
23,4.863292331901148,4.863293226758527,8.948573794575324e-07,12.13817864532588,4.494916189986073,0.5559582594180583,0.47947673825806936,10.833937389127087,3.719215107387104,12.183708374488461,4.4965531471845805,10.792191894734469,3.695173724712955,1.3915164797539923,0.8013794224716255,1.304241256198793,0.7757010825989692,1.304241256198793,0.7757010825989692,0.7251036986575029,0.371930624947807,0.04600063612946755
24,4.883327431158455,4.8833283227588025,8.916003473154893e-07,12.080664886520939,4.4922439780767975,0.5820430845420341,0.49499075991004876,10.87306462681305,3.7424861398650733,12.13817864532588,4.494916189986073,10.833937389127087,3.719215107387104,1.304241256198793,0.7757010825989692,1.2076002597078883,0.7497578382117243,1.2076002597078883,0.7497578382117243,0.7028753800541409,0.37112320208493677,0.05193777218984781
